date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,totalTestResults,lastModified,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20200923,56,123000,86611799,7999,29448,397749,6119,19324,1551,2130,2646959,2020-09-22T00:00:00Z,192741,397749,96612436,2020-09-22T00:00:00Z,0,0,821,1394,668943,48794,765511,30bcf56773554fc89539e5408720eccb318c5317
20201027,56,230000,85942856,13241,28755,396355,6055,19353,1572,2116,2615974,2020-09-21T00:00:00Z,191920,396355,95846925,2020-09-21T00:00:00Z,0,0,287,1140,639272,39472,725329,f29ce5ee97f3d9daabbd009f7f8588db897fe7e4
20200920,56,6770661,85303584,13192,28608,395215,6015,19281,1595,2112,2589239,2020-09-20T00:00:00Z,191633,395215,95121596,2020-09-20T00:00:00Z,0,0,327,516,790601,36295,905387,63cb08b9d6d6dc2fc5a76afe717bd72827746070
20200919,56,6734366,84512983,13217,29015,394699,6063,19243,1577,2111,2577467,2020-09-19T00:00:00Z,191306,394699,94216209,2020-09-19T00:00:00Z,0,0,740,1067,946890,45539,1066157,fdba5dc747bf506e4265dda0938ea93ae7828eb5
20201022,56,6858927,86611799,7999,29448,397749,6119,19324,1551,2130,2646959,2020-09-22T00:00:00Z,192741,397749,96612436,2020-09-22T00:00:00Z,0,0,821,1394,668943,48794,765511,30bcf56773554fc89539e5408720eccb318c5317
20200822,56,5641573,65801499,4154,39911,358630,8218,16657,2204,1736,1985493,2020-08-22T00:00:00Z,168252,358630,73058840,2020-08-22T00:00:00Z,0,0,1029,1537,710293,46236,794263,e3ffe7262f22d480fba2dbc101b7e7ab11995672
20200821,56,5595337,65091206,4199,40951,357093,8357,16563,2286,1730,1965056,2020-08-21T00:00:00Z,167223,357093,72264577,2020-08-21T00:00:00Z,0,0,1123,1817,697054,46561,785071,d526d9ebf9f37269c262467e67bdb0d00fe97095
20200731,56,4539746,50955877,3956,55540,308088,10472,14044,2703,1437,1438160,2020-07-31T00:00:00Z,145356,308088,56624553,2020-07-31T00:00:00Z,0,0,1312,2627,657827,67623,928163,31bd086260d733fa1b27d96f0a710611c98a916b
20200730,56,4472123,50298050,3947,56381,305461,10513,13875,2760,1415,1413957,2020-07-30T00:00:00Z,144044,305461,55696390,2020-07-30T00:00:00Z,0,0,1259,3383,737950,69418,829896,083e2481bb7bb16014d6c4d2197bd05f38e418ad
20200608,56,1959239,18778941,1606,31202,218115,6402,9013,3240,762,603143,2020-06-08T00:00:00Z,106682,218115,21105192,2020-06-08T00:00:00Z,0,0,661,714,380221,17209,414342,c1eeb167fdf376c11ca1a5556e6e76d8bc3e215b
20200607,56,1942030,18398720,1733,31408,217401,6501,8957,3298,753,590988,2020-06-07T00:00:00Z,106021,217401,20690850,2020-06-07T00:00:00Z,0,0,447,685,404383,18740,422043,f79bc0dfe0f22a2cba90d0b4f30cb379b47447e6
20200520,56,1555861,11107315,2973,41762,173709,9522,7319,4911,613,294312,2020-05-20T00:00:00Z,89502,173709,12904314,2020-05-20T00:00:00Z,0,0,1399,1996,387243,21318,417701,744ec8ae60c9edeca70bcc2ad683e246e60a195b
20200519,56,1534543,10720072,2944,41872,171713,9597,7217,5032,606,289484,2020-05-19T00:00:00Z,88103,171713,12486613,2020-05-19T00:00:00Z,0,0,1326,1597,381974,20899,408978,84ad0af3cbd0a09ad928d748ec2153b8d0c6326d
20200412,56,560563,2309672,16419,55426,70879,13623,1455,5986,160,34081,2020-04-12T00:00:00Z,23865,70879,2909731,2020-04-12T00:00:00Z,0,0,1703,3288,111204,27763,135961,0e93eb4b4d2d960f1eb342e2994652521a1c5c4a
20200411,56,532800,2198468,16593,55572,67591,13280,1405,5978,154,31567,2020-04-11T00:00:00Z,22162,67591,2773770,2020-04-11T00:00:00Z,0,0,2055,2825,106592,30506,139037,4e702ab629be533fdd8626365b6b09e42132b559
20200331,56,198295,901508,59518,18082,23725,3487,236,507,,5666,2020-03-31T00:00:00Z,4314,23725,1126696,2020-03-31T00:00:00Z,0,0,890,3906,87657,24853,116183,8f2dce283a756b818e21bb3558e5e8ece51f5c54
20200330,56,173442,813851,65369,15772,19819,3087,187,451,,4560,2020-03-30T00:00:00Z,3424,19819,1010513,2020-03-30T00:00:00Z,0,0,589,2536,96706,22042,119396,e82827404e380b9e8325df9bb20e09b6a72bf558
